YEAR,0,DY,41.2960517_-84.2273628,41.391012_-84.137842,41.53086853_-83.71882629,41.670988_-83.835347
1987,,15,3.51,3.51,3.51,3.51
1987,,16,3.51,3.51,3.51,3.51
1987,,17,3.5,3.5,3.5,3.5
1987,,18,3.49,3.49,3.49,3.49
1987,,19,3.49,3.49,3.49,3.49
1987,,20,3.48,3.48,3.48,3.48
1987,,21,3.48,3.48,3.48,3.48
1987,,22,3.48,3.48,3.48,3.48
1987,,23,3.48,3.48,3.48,3.48
1987,,24,3.49,3.49,3.49,3.49
1987,,25,3.49,3.49,3.49,3.49
1987,,26,3.5,3.5,3.5,3.5
1987,,27,3.5,3.5,3.5,3.5
1987,,28,3.51,3.51,3.51,3.51
1987,,29,3.52,3.52,3.52,3.52
1987,,30,3.53,3.53,3.53,3.53
1987,,31,3.55,3.55,3.55,3.55
1988,,1,3.56,3.56,3.56,3.56
1988,,2,3.58,3.58,3.58,3.58
1988,,3,3.59,3.59,3.59,3.59
1988,,4,3.61,3.61,3.61,3.61
1988,,5,3.63,3.63,3.63,3.63
1988,,6,3.65,3.65,3.65,3.65
1988,,7,3.67,3.67,3.67,3.67
1988,,8,3.7,3.7,3.7,3.7
1988,,9,3.72,3.72,3.72,3.72
1988,,10,3.75,3.75,3.75,3.75
1988,,11,3.78,3.78,3.78,3.78
1988,,12,3.81,3.81,3.81,3.81
1988,,13,3.84,3.84,3.84,3.84
1988,,14,3.87,3.87,3.87,3.87
1988,,15,3.9,3.9,3.9,3.9
1988,,16,3.94,3.94,3.94,3.94
1988,,17,3.97,3.97,3.97,3.97
1988,,18,4.01,4.01,4.01,4.01
1988,,19,4.05,4.05,4.05,4.05
1988,,20,4.08,4.08,4.08,4.08
1988,,21,4.13,4.13,4.13,4.13
1988,,22,4.17,4.17,4.17,4.17
1988,,23,4.21,4.21,4.21,4.21
1988,,24,4.26,4.26,4.26,4.26
1988,,25,4.3,4.3,4.3,4.3
1988,,26,4.35,4.35,4.35,4.35
1988,,27,4.39,4.39,4.39,4.39
1988,,28,4.44,4.44,4.44,4.44
1988,,29,4.49,4.49,4.49,4.49
1988,,30,4.54,4.54,4.54,4.54
1988,,31,4.59,4.59,4.59,4.59
1988,,1,4.65,4.65,4.65,4.65
1988,,2,4.7,4.7,4.7,4.7
1988,,3,4.75,4.75,4.75,4.75
1988,,4,4.81,4.81,4.81,4.81
1988,,5,4.87,4.87,4.87,4.87
1988,,6,4.92,4.92,4.92,4.92
1988,,7,4.98,4.98,4.98,4.98
1988,,8,5.04,5.04,5.04,5.04
1988,,9,5.1,5.1,5.1,5.1
1988,,10,5.16,5.16,5.16,5.16
1988,,11,5.22,5.22,5.22,5.22
1988,,12,5.28,5.28,5.28,5.28
1988,,13,5.35,5.35,5.35,5.35
1988,,14,5.41,5.41,5.41,5.41
1988,,15,5.47,5.47,5.47,5.47
1988,,16,5.54,5.54,5.54,5.54
1988,,17,5.6,5.6,5.6,5.6
1988,,18,5.67,5.67,5.67,5.67
1988,,19,5.74,5.74,5.74,5.74
1988,,20,5.8,5.8,5.8,5.8
1988,,21,5.87,5.87,5.87,5.87
1988,,22,5.94,5.94,5.94,5.94
1988,,23,6.01,6.01,6.01,6.01
1988,,24,6.08,6.08,6.08,6.08
1988,,25,6.14,6.14,6.14,6.14
1988,,26,6.21,6.21,6.21,6.21
1988,,27,6.28,6.28,6.28,6.28
1988,,28,6.36,6.36,6.36,6.36
1988,,29,6.42,6.42,6.42,6.42
1988,,1,6.49,6.49,6.49,6.49
1988,,2,6.57,6.57,6.57,6.57
1988,,3,6.64,6.64,6.64,6.64
1988,,4,6.71,6.71,6.71,6.71
1988,,5,6.78,6.78,6.78,6.78
1988,,6,6.85,6.85,6.85,6.85
1988,,7,6.92,6.92,6.92,6.92
1988,,8,7.0,7.0,7.0,7.0
1988,,9,7.07,7.07,7.07,7.07
1988,,10,7.14,7.14,7.14,7.14
1988,,11,7.21,7.21,7.21,7.21
1988,,12,7.28,7.28,7.28,7.28
1988,,13,7.36,7.36,7.36,7.36
1988,,14,7.43,7.43,7.43,7.43
1988,,15,7.5,7.5,7.5,7.5
1988,,16,7.57,7.57,7.57,7.57
1988,,17,7.64,7.64,7.64,7.64
1988,,18,7.71,7.71,7.71,7.71
1988,,19,7.78,7.78,7.78,7.78
1988,,20,7.85,7.85,7.85,7.85
1988,,21,7.92,7.92,7.92,7.92
1988,,22,8.0,8.0,8.0,8.0
1988,,23,8.07,8.07,8.07,8.07
1988,,24,8.14,8.14,8.14,8.14
1988,,25,8.21,8.21,8.21,8.21
1988,,26,8.27,8.27,8.27,8.27
1988,,27,8.34,8.34,8.34,8.34
1988,,28,8.41,8.41,8.41,8.41
1988,,29,8.48,8.48,8.48,8.48
1988,,30,8.55,8.55,8.55,8.55
1988,,31,8.61,8.61,8.61,8.61
1988,,1,8.68,8.68,8.68,8.68
1988,,2,8.75,8.75,8.75,8.75
1988,,3,8.82,8.82,8.82,8.82
1988,,4,8.88,8.88,8.88,8.88
1988,,5,8.95,8.95,8.95,8.95
1988,,6,9.01,9.01,9.01,9.01
1988,,7,9.07,9.07,9.07,9.07
1988,,8,9.14,9.14,9.14,9.14
1988,,9,9.2,9.2,9.2,9.2
1988,,10,9.26,9.26,9.26,9.26
1988,,11,9.32,9.32,9.32,9.32
1988,,12,9.39,9.39,9.39,9.39
1988,,13,9.45,9.45,9.45,9.45
1988,,14,9.5,9.5,9.5,9.5
1988,,15,9.56,9.56,9.56,9.56
1988,,16,9.62,9.62,9.62,9.62
1988,,17,9.68,9.68,9.68,9.68
1988,,18,9.73,9.73,9.73,9.73
1988,,19,9.79,9.79,9.79,9.79
1988,,20,9.85,9.85,9.85,9.85
1988,,21,9.9,9.9,9.9,9.9
1988,,22,9.96,9.96,9.96,9.96
1988,,23,10.02,10.02,10.02,10.02
1988,,24,10.07,10.07,10.07,10.07
1988,,25,10.12,10.12,10.12,10.12
1988,,26,10.17,10.17,10.17,10.17
1988,,27,10.22,10.22,10.22,10.22
1988,,28,10.27,10.27,10.27,10.27
1988,,29,10.32,10.32,10.32,10.32
1988,,30,10.36,10.36,10.36,10.36
1988,,1,10.41,10.41,10.41,10.41
1988,,2,10.46,10.46,10.46,10.46
1988,,3,10.5,10.5,10.5,10.5
1988,,4,10.55,10.55,10.55,10.55
1988,,5,10.59,10.59,10.59,10.59
1988,,6,10.64,10.64,10.64,10.64
1988,,7,10.68,10.68,10.68,10.68
1988,,8,10.72,10.72,10.72,10.72
1988,,9,10.76,10.76,10.76,10.76
1988,,10,10.8,10.8,10.8,10.8
1988,,11,10.84,10.84,10.84,10.84
1988,,12,10.88,10.88,10.88,10.88
1988,,13,10.92,10.92,10.92,10.92
1988,,14,10.95,10.95,10.95,10.95
1988,,15,10.98,10.98,10.98,10.98
1988,,16,11.02,11.02,11.02,11.02
1988,,17,11.05,11.05,11.05,11.05
1988,,18,11.08,11.08,11.08,11.08
1988,,19,11.12,11.12,11.12,11.12
1988,,20,11.15,11.15,11.15,11.15
